Time,S(t),I_h(t),R_h(t),S_v(t),I_v(t)
7.327327327,2.3880343,170.45457,81.355255,66.319145,83.77628
7.357357357,2.387077,170.4852,81.76243,66.307686,83.80933
7.387387387,2.3861392,170.51529,82.16966,66.29644,83.84174
7.417417417,2.3852203,170.54483,82.57696,66.28541,83.87353
7.447447447,2.3843195,170.57385,82.984314,66.27458,83.9047
7.477477477,2.383437,170.60236,83.39173,66.263954,83.93527
7.507507508,2.382572,170.63034,83.7992,66.253525,83.965256
7.537537538,2.3817244,170.65782,84.20673,66.243286,83.99466
7.567567568,2.3808937,170.68481,84.61432,66.23324,84.0235
7.597597598,2.3800795,170.71133,85.02196,66.22338,84.05178
7.627627628,2.3792815,170.73737,85.42965,66.21371,84.07951
7.657657658,2.3784995,170.76294,85.837395,66.20421,84.10671
7.687687688,2.3777335,170.78806,86.24519,66.194885,84.13339
7.717717718,2.3769822,170.81273,86.65304,66.18574,84.15955
7.747747748,2.376246,170.83696,87.060936,66.17676,84.18521
7.777777778,2.3755245,170.86075,87.46888,66.167946,84.21038
7.807807808,2.3748171,170.88411,87.87687,66.159294,84.23506
7.837837838,2.374124,170.90706,88.284904,66.1508,84.25927
7.867867868,2.3734446,170.9296,88.692986,66.14247,84.28301
7.897897898,2.3727784,170.95174,89.10111,66.13429,84.3063
7.927927928,2.3721256,170.97348,89.50928,66.12627,84.32913
7.957957958,2.3714857,170.99483,89.91749,66.118385,84.35153
7.987987988,2.3708582,171.01581,90.32574,66.11065,84.3735
8.018018018,2.3702433,171.0364,90.734024,66.10306,84.39504
8.048048048,2.3696406,171.05664,91.14236,66.095604,84.416176
8.078078078,2.3690495,171.0765,91.55073,66.08829,84.436905
8.108108108,2.3684702,171.09602,91.95913,66.08111,84.45723
8.138138138,2.3679025,171.11519,92.36757,66.07406,84.477165
8.168168168,2.3673458,171.13402,92.77605,66.06714,84.49672
8.198198198,2.3668,171.15251,93.18456,66.06035,84.5159
8.228228228,2.366265,171.17067,93.59311,66.05368,84.53471
8.258258258,2.3657405,171.1885,94.001686,66.047134,84.55316
8.288288288,2.3652263,171.20602,94.4103,66.04071,84.57126
8.318318318,2.364722,171.22322,94.81895,66.0344,84.589005
8.348348348,2.3642278,171.24011,95.22762,66.02821,84.606415
8.378378378,2.3637433,171.25671,95.63633,66.02213,84.62349
8.408408408,2.3632681,171.27301,96.04507,66.01617,84.640236
8.438438438,2.3628025,171.28902,96.453835,66.01031,84.65666
8.468468468,2.3623457,171.30473,96.862625,66.004555,84.672775
8.498498498,2.361898,171.32018,97.27145,65.99891,84.688576
8.528528529,2.361459,171.33534,97.68029,65.99337,84.70408
8.558558559,2.3610284,171.35023,98.089165,65.98793,84.719284
8.588588589,2.3606062,171.36487,98.49806,65.98259,84.7342
8.618618619,2.3601923,171.37924,98.90698,65.97735,84.748825
8.648648649,2.3597867,171.39336,99.31593,65.9722,84.76317
8.678678679,2.3593888,171.40721,99.72491,65.96715,84.77724
8.708708709,2.358999,171.42082,100.1339,65.96219,84.79104
8.738738739,2.3586164,171.43419,100.54292,65.95732,84.80458
8.768768769,2.3582413,171.44733,100.951965,65.95254,84.81786
8.798798799,2.3578734,171.46022,101.36102,65.947845,84.83089
8.828828829,2.357513,171.47289,101.7701,65.94324,84.843666
8.858858859,2.3571591,171.48534,102.17921,65.93871,84.8562
8.888888889,2.3568122,171.49756,102.588326,65.93427,84.86849
8.918918919,2.3564725,171.50957,102.99747,65.92991,84.88055
8.948948949,2.356139,171.52136,103.406624,65.92563,84.89237
8.978978979,2.355812,171.53294,103.8158,65.921425,84.90398
9.009009009,2.3554914,171.54431,104.225,65.9173,84.91536
9.039039039,2.355177,171.55548,104.63421,65.913246,84.92652
9.069069069,2.3548687,171.56645,105.04344,65.90926,84.93747
9.099099099,2.3545663,171.57722,105.45269,65.90536,84.94821
9.129129129,2.3542697,171.58781,105.86195,65.90152,84.95875
9.159159159,2.3539789,171.5982,106.27123,65.89775,84.96908
9.189189189,2.3536937,171.60841,106.68053,65.89405,84.97922
9.219219219,2.353414,171.61844,107.089836,65.89042,84.98916
9.249249249,2.3531399,171.6283,107.49916,65.886856,84.99891
9.279279279,2.352871,171.63797,107.90849,65.883354,85.00848
9.309309309,2.3526073,171.64748,108.31784,65.87991,85.01786
9.339339339,2.3523488,171.65681,108.7272,65.87653,85.02706
9.369369369,2.3520951,171.66599,109.13657,65.873215,85.03609
9.399399399,2.3518465,171.67499,109.54596,65.86996,85.044945
9.429429429,2.3516023,171.68384,109.95535,65.86676,85.053635
9.459459459,2.3513632,171.69252,110.36476,65.863625,85.06216
9.489489489,2.3511286,171.70105,110.77418,65.86054,85.07052
9.51951952,2.3508985,171.70943,111.18361,65.85751,85.07872
9.54954955,2.3506727,171.71767,111.59305,65.854546,85.08676
9.57957958,2.3504515,171.72575,112.002495,65.85163,85.09465
9.60960961,2.3502345,171.73369,112.41196,65.84876,85.102394
9.63963964,2.3500214,171.74149,112.82143,65.84595,85.109985
9.66966967,2.3498127,171.74915,113.2309,65.843185,85.11743
9.6996997,2.349608,171.75667,113.64039,65.84047,85.12474
9.72972973,2.349407,171.76405,114.04988,65.83781,85.131905
9.75975976,2.34921,171.77132,114.45938,65.83519,85.13893
9.78978979,2.349017,171.77844,114.86889,65.83262,85.14583
9.81981982,2.3488274,171.78545,115.278404,65.83009,85.152596
9.84984985,2.3486414,171.79233,115.68793,65.827614,85.15923
9.87987988,2.3484592,171.79909,116.09746,65.82518,85.16574
9.90990991,2.3482804,171.80573,116.506996,65.82279,85.17213
9.93993994,2.3481052,171.81224,116.916534,65.82045,85.17839
9.96996997,2.347933,171.81865,117.32608,65.818146,85.18453
10,2.3477645,171.82494,117.735634,65.81589,85.19056
10.03003003,2.347599,171.83112,118.14519,65.81367,85.19647
10.06006006,2.347437,171.83719,118.55475,65.811485,85.20227
10.09009009,2.3472776,171.84315,118.96432,65.80934,85.20796
10.12012012,2.3471215,171.84901,119.373886,65.807236,85.21355
10.15015015,2.3469684,171.85477,119.78346,65.80517,85.219025
10.18018018,2.3468182,171.86041,120.19304,65.80314,85.224396
10.21021021,2.3466709,171.86597,120.60262,65.80115,85.22967
10.24024024,2.3465261,171.87141,121.01221,65.799194,85.23484
10.27027027,2.3463843,171.87677,121.4218,65.79727,85.239914
10.3003003,2.3462453,171.88202,121.83139,65.79539,85.24489
10.33033033,2.346109,171.88718,122.24098,65.79353,85.24977
10.36036036,2.3459752,171.89224,122.65058,65.79172,85.25456
10.39039039,2.3458438,171.89722,123.06018,65.78993,85.25926
10.42042042,2.345715,171.90211,123.46978,65.78818,85.26387
10.45045045,2.3455887,171.90692,123.87938,65.78645,85.26839
10.48048048,2.345465,171.91164,124.28899,65.78476,85.27282
10.51051051,2.3453436,171.91628,124.69859,65.7831,85.27717
10.54054054,2.3452244,171.92082,125.1082,65.78146,85.28143
10.57057057,2.3451076,171.9253,125.51781,65.77986,85.28562
10.6006006,2.3449929,171.92969,125.927414,65.77829,85.28973
10.63063063,2.3448806,171.934,126.33702,65.77674,85.293755
10.66066066,2.3447704,171.93825,126.74663,65.77522,85.29771
10.69069069,2.3446622,171.94241,127.156235,65.773735,85.30158
10.72072072,2.3445559,171.9465,127.56584,65.77227,85.30539
10.75075075,2.3444517,171.95052,127.97545,65.770836,85.30912
10.78078078,2.3443496,171.95447,128.38506,65.769424,85.31278
10.81081081,2.3442495,171.95834,128.79466,65.768036,85.316376
10.84084084,2.344151,171.96214,129.20427,65.76668,85.3199
10.87087087,2.3440547,171.96588,129.61388,65.76534,85.32336
10.9009009,2.34396,171.96956,130.02348,65.76403,85.326744
10.93093093,2.3438673,171.97316,130.43309,65.76274,85.33007
10.96096096,2.3437762,171.9767,130.8427,65.761475,85.333336
10.99099099,2.343687,171.98018,131.2523,65.76023,85.33654
11.02102102,2.3435996,171.9836,131.66191,65.75901,85.33968
11.05105105,2.3435135,171.98695,132.07152,65.75781,85.342766
11.08108108,2.3434293,171.99025,132.48111,65.75663,85.34579
11.11111111,2.3433466,171.99348,132.8907,65.75547,85.348755
11.14114114,2.3432655,171.99667,133.3003,65.75433,85.35166
11.17117117,2.343186,171.9998,133.70988,65.75322,85.354515
11.2012012,2.343108,172.00287,134.11948,65.75212,85.357315
11.23123123,2.3430314,172.00589,134.52907,65.751045,85.36006
11.26126126,2.3429563,172.00885,134.93866,65.749985,85.362755
11.29129129,2.3428826,172.01176,135.34824,65.74895,85.3654
11.32132132,2.3428102,172.01462,135.75781,65.747925,85.368
11.35135135,2.3427393,172.01743,136.16739,65.746925,85.37054
11.38138138,2.34267,172.02019,136.57697,65.74594,85.37303
11.41141141,2.3426018,172.0229,136.98654,65.74497,85.37548
11.44144144,2.3425348,172.02556,137.3961,65.744026,85.377884
11.47147147,2.3424692,172.02817,137.80566,65.743095,85.38024
11.5015015,2.3424048,172.03073,138.21523,65.74218,85.38255
11.53153153,2.3423417,172.03325,138.62479,65.74128,85.38482
11.56156156,2.3422797,172.03572,139.03433,65.740395,85.38705
11.59159159,2.3422189,172.03815,139.44388,65.739525,85.38923
11.62162162,2.3421593,172.04054,139.85342,65.73867,85.39137
11.65165165,2.3421006,172.0429,140.26297,65.73783,85.39347
11.68168168,2.3420434,172.0452,140.6725,65.73701,85.39553
11.71171171,2.3419871,172.04745,141.08203,65.7362,85.39755
11.74174174,2.3419318,172.04968,141.49156,65.735405,85.399536
11.77177177,2.3418777,172.05186,141.90108,65.73463,85.40148
11.8018018,2.3418245,172.05402,142.3106,65.733864,85.40339
11.83183183,2.3417723,172.05612,142.72011,65.733116,85.405266
11.86186186,2.3417213,172.0582,143.12961,65.732376,85.407104
11.89189189,2.341671,172.06023,143.53911,65.73165,85.408905
11.92192192,2.3416219,172.06223,143.94861,65.73094,85.410675
11.95195195,2.3415735,172.0642,144.3581,65.73024,85.412415
11.98198198,2.341526,172.06612,144.76758,65.72955,85.414116
12.01201201,2.3414795,172.06801,145.17706,65.72888,85.41579
12.04204204,2.341434,172.06987,145.58653,65.72822,85.41743
12.07207207,2.3413892,172.0717,145.996,65.72757,85.41904
12.1021021,2.3413453,172.0735,146.40547,65.72693,85.420616
12.13213213,2.3413022,172.07527,146.81493,65.7263,85.422165
12.16216216,2.34126,172.077,147.22438,65.725685,85.42368
12.19219219,2.3412185,172.07869,147.63383,65.72508,85.42517
12.22222222,2.3411777,172.08037,148.04327,65.72449,85.426636
